Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
39450,759025,759025,10000,2026-02-08,2
39451,802772,802772,10000,2026-02-21,2
39452,200120,200120,10000,2026-01-18,2
39453,768647,768647,10000,2026-01-18,2
39454,931230,931230,10000,2026-02-11,2
39455,766180,766180,10000,2026-01-27,2
39456,841407,841407,10000,2026-01-22,2
39457,809916,809916,10000,2026-02-27,2
39458,608640,608640,10000,2026-02-26,2
39459,502442,502442,10000,2026-01-02,2
39460,278844,278844,10000,2026-02-23,2
39461,422782,422782,10000,2026-02-08,2
39462,452063,452063,10000,2026-02-17,2
39463,167103,167103,10000,2026-01-18,2
39464,205420,205420,10000,2026-02-08,2
39465,888534,888534,10000,2026-02-08,2
39466,1606,1606,10000,2026-02-03,2
39467,17265,17265,10000,2026-01-13,2
39468,632415,632415,10000,2026-01-04,2
39469,692054,692054,10000,2026-01-14,2
39470,649768,649768,10000,2026-01-18,2
39471,24327,24327,10000,2026-02-09,2
39472,803667,803667,10000,2026-01-07,2
39473,195976,195976,10000,2026-02-27,2
39474,414811,414811,10000,2026-01-01,2
39475,149205,149205,10000,2026-01-27,2
39476,887941,887941,10000,2026-02-09,2
39477,949083,949083,10000,2026-01-20,2
39478,928682,928682,10000,2026-01-31,2
39479,293128,293128,10000,2026-02-04,2
39480,791429,791429,10000,2026-02-01,2
39481,850656,850656,10000,2026-02-03,2
39482,168753,168753,10000,2026-02-25,2
39483,368515,368515,10000,2026-02-10,2
39484,156793,156793,10000,2026-01-25,2
39485,287317,287317,10000,2026-02-02,2
39486,698197,698197,10000,2026-01-27,2
39487,114040,114040,10000,2026-02-16,2
39488,968417,968417,10000,2026-02-17,2
39489,162044,162044,10000,2026-02-18,2
39490,199331,199331,10000,2026-01-06,2
39491,897631,897631,10000,2026-02-05,2
39492,402877,402877,10000,2026-01-27,2
39493,319265,319265,10000,2026-02-05,2
39494,254650,254650,10000,2026-01-19,2
39495,792716,792716,10000,2026-01-29,2
39496,518065,518065,10000,2026-01-25,2
39497,756811,756811,10000,2026-01-04,2
39498,46819,46819,10000,2026-02-03,2
39499,853209,853209,10000,2026-02-06,2
39500,359118,359118,10000,2026-01-23,2
39501,122409,122409,10000,2026-02-23,2
39502,358304,358304,10000,2026-02-27,2
39503,706098,706098,10000,2026-02-02,2
39504,545022,545022,10000,2026-01-08,2
39505,398346,398346,10000,2026-01-12,2
39506,937977,937977,10000,2026-01-28,2
39507,738101,738101,10000,2026-01-08,2
39508,980783,980783,10000,2026-02-20,2
39509,5986,5986,10000,2026-01-28,2
39510,847489,847489,10000,2026-01-26,2
39511,618847,618847,10000,2026-02-06,2
39512,324319,324319,10000,2026-02-11,2
39513,822976,822976,10000,2026-02-11,2
39514,364085,364085,10000,2026-01-01,2
39515,785950,785950,10000,2026-01-25,2
39516,601916,601916,10000,2026-02-17,2
39517,460657,460657,10000,2026-02-20,2
39518,283445,283445,10000,2026-01-11,2
39519,845993,845993,10000,2026-01-08,2
39520,6024,6024,10000,2026-01-29,2
39521,311145,311145,10000,2026-01-15,2
39522,643649,643649,10000,2026-02-01,2
39523,145420,145420,10000,2026-01-06,2
39524,180581,180581,10000,2026-01-31,2
39525,337861,337861,10000,2026-02-01,2
39526,501269,501269,10000,2026-01-30,2
39527,666436,666436,10000,2026-01-20,2
39528,991142,991142,10000,2026-02-14,2
39529,346224,346224,10000,2026-01-23,2
39530,342692,342692,10000,2026-01-07,2
39531,637046,637046,10000,2026-01-04,2
39532,42352,42352,10000,2026-02-04,2
39533,691474,691474,10000,2026-02-18,2
39534,865786,865786,10000,2026-01-25,2
39535,994912,994912,10000,2026-01-14,2
39536,540668,540668,10000,2026-02-19,2
39537,872265,872265,10000,2026-02-18,2
39538,651736,651736,10000,2026-01-12,2
39539,308496,308496,10000,2026-01-17,2
39540,493387,493387,10000,2026-01-27,2
39541,573114,573114,10000,2026-02-11,2
39542,157317,157317,10000,2026-01-03,2
39543,201158,201158,10000,2026-01-20,2
39544,920500,920500,10000,2026-01-13,2
39545,920996,920996,10000,2026-02-26,2
39546,814545,814545,10000,2026-01-07,2
39547,554534,554534,10000,2026-02-25,2
39548,300200,300200,10000,2026-02-19,2
39549,712951,712951,10000,2026-01-09,2
39550,525986,525986,10000,2026-01-23,2
39551,885081,885081,10000,2026-02-03,2
39552,824651,824651,10000,2026-01-19,2
39553,654490,654490,10000,2026-02-14,2
39554,598003,598003,10000,2026-02-09,2
39555,450831,450831,10000,2026-01-10,2
39556,396642,396642,10000,2026-02-05,2
39557,139396,139396,10000,2026-01-17,2
39558,938729,938729,10000,2026-01-06,2
39559,900622,900622,10000,2026-01-14,2
39560,812207,812207,10000,2026-02-28,2
39561,957829,957829,10000,2026-02-26,2
39562,895865,895865,10000,2026-02-22,2
39563,553597,553597,10000,2026-02-08,2
39564,737683,737683,10000,2026-01-27,2
39565,663424,663424,10000,2026-02-26,2
39566,656391,656391,10000,2026-01-08,2
39567,282883,282883,10000,2026-01-02,2
39568,420691,420691,10000,2026-02-27,2
39569,867099,867099,10000,2026-01-09,2
39570,826811,826811,10000,2026-02-09,2
39571,387242,387242,10000,2026-02-20,2
39572,918182,918182,10000,2026-02-08,2
39573,628764,628764,10000,2026-01-01,2
39574,844837,844837,10000,2026-01-29,2
39575,400124,400124,10000,2026-02-22,2
39576,786127,786127,10000,2026-01-05,2
39577,317796,317796,10000,2026-01-19,2
39578,149718,149718,10000,2026-01-12,2
39579,394626,394626,10000,2026-01-21,2
39580,487317,487317,10000,2026-01-23,2
39581,837229,837229,10000,2026-02-16,2
39582,416431,416431,10000,2026-01-29,2
39583,397648,397648,10000,2026-02-01,2
39584,880616,880616,10000,2026-02-20,2
39585,264168,264168,10000,2026-01-13,2
39586,674433,674433,10000,2026-01-25,2
39587,980877,980877,10000,2026-02-20,2
39588,955920,955920,10000,2026-01-17,2
39589,49632,49632,10000,2026-02-25,2
39590,51649,51649,10000,2026-02-18,2
39591,158363,158363,10000,2026-01-08,2
39592,456894,456894,10000,2026-01-06,2
39593,128730,128730,10000,2026-01-14,2
39594,344787,344787,10000,2026-01-22,2
39595,934278,934278,10000,2026-01-25,2
39596,52487,52487,10000,2026-01-06,2
39597,530644,530644,10000,2026-02-01,2
39598,629528,629528,10000,2026-02-18,2
39599,80250,80250,10000,2026-01-23,2
39600,830460,830460,10000,2026-02-06,2
39601,905513,905513,10000,2026-02-03,2
39602,418571,418571,10000,2026-01-25,2
39603,8907,8907,10000,2026-02-04,2
39604,984553,984553,10000,2026-02-04,2
39605,831449,831449,10000,2026-01-18,2
39606,139326,139326,10000,2026-01-16,2
39607,799992,799992,10000,2026-02-06,2
39608,313334,313334,10000,2026-01-31,2
39609,138078,138078,10000,2026-02-07,2
39610,411450,411450,10000,2026-02-04,2
39611,667820,667820,10000,2026-01-12,2
39612,784776,784776,10000,2026-02-27,2
39613,245263,245263,10000,2026-01-18,2
39614,235528,235528,10000,2026-02-09,2
39615,975451,975451,10000,2026-02-14,2
39616,231525,231525,10000,2026-02-09,2
39617,31619,31619,10000,2026-02-18,2
39618,421364,421364,10000,2026-01-26,2
39619,493404,493404,10000,2026-01-20,2
39620,226402,226402,10000,2026-01-09,2
39621,214515,214515,10000,2026-02-23,2
39622,863850,863850,10000,2026-02-22,2
39623,882900,882900,10000,2026-01-23,2
39624,299886,299886,10000,2026-02-18,2
39625,926164,926164,10000,2026-02-01,2
39626,684700,684700,10000,2026-02-06,2
39627,645742,645742,10000,2026-02-19,2
39628,511799,511799,10000,2026-01-07,2
39629,268741,268741,10000,2026-02-01,2
39630,501296,501296,10000,2026-02-19,2
39631,428920,428920,10000,2026-01-22,2
39632,292455,292455,10000,2026-02-01,2
39633,554496,554496,10000,2026-02-20,2
39634,356200,356200,10000,2026-01-04,2
39635,564393,564393,10000,2026-01-30,2
39636,793978,793978,10000,2026-01-20,2
39637,53968,53968,10000,2026-02-22,2
39638,701822,701822,10000,2026-02-06,2
39639,707202,707202,10000,2026-02-14,2
39640,561367,561367,10000,2026-02-18,2
39641,120713,120713,10000,2026-02-27,2
39642,569191,569191,10000,2026-02-07,2
39643,201545,201545,10000,2026-02-01,2
39644,691153,691153,10000,2026-02-27,2
39645,506250,506250,10000,2026-02-14,2
39646,908856,908856,10000,2026-01-17,2
39647,530327,530327,10000,2026-02-13,2
39648,311168,311168,10000,2026-02-11,2
39649,347406,347406,10000,2026-02-01,2
39650,153440,153440,10000,2026-01-17,2
39651,281020,281020,10000,2026-01-07,2
39652,462380,462380,10000,2026-02-06,2
39653,352087,352087,10000,2026-02-20,2
39654,105553,105553,10000,2026-02-01,2
39655,912961,912961,10000,2026-02-23,2
39656,7219,7219,10000,2026-01-04,2
39657,778861,778861,10000,2026-01-05,2
39658,362318,362318,10000,2026-02-04,2
39659,654499,654499,10000,2026-01-27,2
39660,110291,110291,10000,2026-01-26,2
39661,41592,41592,10000,2026-02-09,2
39662,8488,8488,10000,2026-02-28,2
39663,382445,382445,10000,2026-02-08,2
39664,892997,892997,10000,2026-01-26,2
39665,294328,294328,10000,2026-02-07,2
39666,507260,507260,10000,2026-02-16,2
39667,338725,338725,10000,2026-01-19,2
39668,588797,588797,10000,2026-01-08,2
39669,271590,271590,10000,2026-01-31,2
39670,370088,370088,10000,2026-02-12,2
39671,3000,3000,10000,2026-02-18,2
39672,88486,88486,10000,2026-02-08,2
39673,150302,150302,10000,2026-01-04,2
39674,46373,46373,10000,2026-02-28,2
39675,821040,821040,10000,2026-01-18,2
39676,845173,845173,10000,2026-01-18,2
39677,24562,24562,10000,2026-01-29,2
39678,365180,365180,10000,2026-01-15,2
39679,389894,389894,10000,2026-02-03,2
39680,583345,583345,10000,2026-01-29,2
39681,305611,305611,10000,2026-01-26,2
39682,549351,549351,10000,2026-01-01,2
39683,193989,193989,10000,2026-02-02,2
39684,840473,840473,10000,2026-01-31,2
39685,271040,271040,10000,2026-01-28,2
39686,71194,71194,10000,2026-01-05,2
39687,71335,71335,10000,2026-01-25,2
39688,456027,456027,10000,2026-02-10,2
39689,19090,19090,10000,2026-01-06,2
39690,151946,151946,10000,2026-02-04,2
39691,192551,192551,10000,2026-02-12,2
39692,764013,764013,10000,2026-01-04,2
39693,323197,323197,10000,2026-01-19,2
39694,220978,220978,10000,2026-02-04,2
39695,404888,404888,10000,2026-01-11,2
39696,539654,539654,10000,2026-02-02,2
39697,91278,91278,10000,2026-01-25,2
39698,880035,880035,10000,2026-01-01,2
39699,377380,377380,10000,2026-02-26,2
39700,834221,834221,10000,2026-02-07,2
39701,663223,663223,10000,2026-01-31,2
39702,348233,348233,10000,2026-02-17,2
39703,421043,421043,10000,2026-02-06,2
39704,397306,397306,10000,2026-01-03,2
39705,811048,811048,10000,2026-01-17,2
39706,109737,109737,10000,2026-01-02,2
39707,564058,564058,10000,2026-01-08,2
39708,616740,616740,10000,2026-01-16,2
39709,885605,885605,10000,2026-01-05,2
39710,445095,445095,10000,2026-01-01,2
39711,553392,553392,10000,2026-01-07,2
39712,536561,536561,10000,2026-01-11,2
39713,271004,271004,10000,2026-02-18,2
39714,733254,733254,10000,2026-01-06,2
39715,659626,659626,10000,2026-01-10,2
39716,423642,423642,10000,2026-01-21,2
39717,978533,978533,10000,2026-02-18,2
39718,122347,122347,10000,2026-02-02,2
39719,694875,694875,10000,2026-01-02,2
39720,385717,385717,10000,2026-02-14,2
39721,410335,410335,10000,2026-01-05,2
39722,311528,311528,10000,2026-01-30,2
39723,562686,562686,10000,2026-01-28,2
39724,954071,954071,10000,2026-01-04,2
39725,223100,223100,10000,2026-02-19,2
